@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
308.0,212.5,100
304.5,211.5,100
308.0,206.0,100
325.0,205.5,100
332.0,216.0,100
326.5,173.0,100
334.5,176.5,100
335.0,175.5,100
123.5,119.5,20
128.5,120.0,20
136.0,120.0,20
145.0,120.0,20
152.5,121.0,20
162.5,121.5,20
169.0,121.0,20
178.5,121.5,20
187.5,121.5,20
193.5,122.5,20
202.5,124.5,20
209.0,122.0,20
218.0,123.5,20
223.0,122.0,20
234.0,121.0,20
244.0,121.0,20
249.5,121.5,20
254.0,123.0,20
145.0,138.0,20
149.0,139.5,20
160.0,138.0,20
165.5,138.0,20
173.5,137.0,20
183.0,139.5,20
189.0,138.0,20
200.5,137.0,20
206.5,136.5,20
221.5,136.0,20
225.0,133.5,20
233.0,134.5,20
244.5,136.0,20
250.0,136.5,20
257.5,133.5,20
268.5,137.5,20
269.5,135.0,20
277.5,136.0,20
172.5,169.5,20
177.5,168.5,20
185.0,170.0,20
189.5,169.0,20
201.0,170.0,20
210.5,171.5,20
217.0,171.0,20
224.5,171.0,20
233.5,173.0,20
238.0,173.5,20
252.0,175.5,20
259.0,175.5,20
193.0,192.0,20
200.0,190.0,20
210.0,194.5,20
217.5,195.5,20
227.5,194.5,20
234.5,197.0,20
243.0,196.5,20
251.5,195.5,20
209.0,223.0,20
217.0,225.5,20
230.5,221.5,20
234.5,223.0,20
237.5,242.5,20
239.5,236.0,20
237.5,231.0,20
235.5,222.5,20
239.5,217.5,20
238.5,210.5,20
237.0,200.5,20
236.5,196.5,20
235.0,182.0,20
237.5,180.0,20
237.5,167.5,20
239.0,161.5,20
236.5,151.5,20
235.5,140.0,20
265.0,209.5,20
262.5,205.5,20
264.5,196.5,20
264.0,186.5,20
264.0,178.0,20
267.5,175.5,20
263.0,167.0,20
266.5,160.0,20
258.0,148.0,20
259.5,128.0,20
297.0,184.0,20
292.0,180.5,20
289.5,176.5,20
291.0,167.0,20
290.0,160.0,20
295.5,150.0,20
323.0,153.5,20
319.5,150.5,20
313.5,145.0,20
308.5,141.0,20
174.5,175.5,20
173.5,168.5,20
174.0,160.5,20
173.0,152.0,20
173.0,140.5,20
142.0,144.0,20
142.5,142.5,20
529.5,352.5,40
524.0,352.0,40
517.5,351.5,40
507.0,351.0,40
502.0,350.0,40
492.5,350.5,40
485.5,349.0,40
475.5,349.5,40
468.0,349.0,40
458.0,349.5,40
453.0,347.5,40
443.5,345.5,40
436.5,343.0,40
427.5,343.0,40
418.5,343.5,40
407.0,346.0,40
402.0,346.0,40
390.0,347.5,40
383.0,348.5,40
372.5,348.5,40
365.0,348.0,40
355.5,346.5,40
349.0,346.0,40
341.5,346.5,40
332.0,346.0,40
323.5,345.5,40
314.5,345.0,40
305.0,345.5,40
298.5,345.5,40
287.5,346.0,40
283.5,346.0,40
273.5,346.0,40
265.5,346.5,40
256.0,345.5,40
247.5,346.5,40
240.5,344.5,40
230.5,344.5,40
222.0,345.0,40
213.5,346.5,40
207.5,346.5,40
198.0,347.0,40
188.0,348.5,40
176.5,348.5,40
169.0,347.5,40
